"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-01-01",,,"69","H,,S",,,"50",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-01-02",,,"67","H,,S",,,,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-01-03",,,"60","H,,S","81",",,S","46",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-01-04",,,"62","H,,S","81",",,S","45",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-01-06",,,"65","H,,S",,,"49",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-01-07",,,"66","H,,S","85",",,S","48",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-01-08",,,"63","H,,S",,,"48",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-01-09",,,"65","H,,S",,,"47",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-01-10",,,"70","H,,S","83",",,S",,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-01-11",,,"67","H,,S","82",",,S","50",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-01-13",,,"67","H,,S",,,"51",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-01-15",,,"69","H,,S",,,,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-01-16",,,"67","H,,S","84",",,S","52",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-01-17",,,"68","H,,S","85",",,S","53",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-01-18",,,"68","H,,S",,,"54",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-01-19",,,"66","H,,S","80",",,S","54",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-01-20",,,"68","H,,S","85",",,S","53",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-01-21",,,"64","H,,S",,,"50",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-01-22",,,"66","H,,S","85",",,S","49",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-01-24",,,"69","H,,S",,,,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-01-25",,,"69","H,,S",,,"48",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-01-26",,,"65","H,,S",,,"50",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-01-27",,,"66","H,,S",,,"49",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-01-28",,,"67","H,,S","84",",,S","50",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-01-29",,,"65","H,,S",,,"48",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-01-31",,,"65","H,,S","86",",,S",,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-02-01",,,"66","H,,S",,,"50",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-02-02",,,"65","H,,S",,,"48",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-02-03",,,"69","H,,S","86",",,S","48",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-02-04",,,"70","H,,S","86",",,S",,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-02-05",,,"66","H,,S",,,"48",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-02-06",,,"69","H,,S",,,,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-02-07",,,"65","H,,S",,,"50",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-02-08",,,"66","H,,S",,,"50",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-02-09",,,"70","H,,S",,,,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-02-10",,,"66","H,,S",,,"53",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-02-11",,,"68","H,,S",,,"53",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-02-12",,,"70","H,,S",,,"53",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-02-13",,,"69","H,,S",,,"54",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-02-14",,,"73","H,,S",,,"55",",,S"
